Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Period of Measure
77070,66983,dollars,61535,72431,2014-2018
77070,69038,dollars,63576,74500,2013-2017
77070,71428,dollars,68060,74796,2012-2016
77070,69929,dollars,67261,72597,2011-2015
77070,70632,dollars,67191,74073,2010-2014
77070,69139,dollars,66125,72153,2009-2013
77070,70634,dollars,66225,75043,2008-2012
77070,69122,dollars,65292,72952,2007-2011
77071,46801,dollars,41702,51900,2014-2018
77071,49137,dollars,42816,55458,2013-2017
77071,44824,dollars,41456,48192,2012-2016
77071,46871,dollars,43193,50549,2011-2015
77071,47521,dollars,44729,50313,2010-2014
77071,45941,dollars,42555,49327,2009-2013
77071,44958,dollars,41738,48178,2008-2012
77071,44867,dollars,40469,49265,2007-2011
77072,41557,dollars,38871,44243,2014-2018
77072,41041,dollars,39247,42835,2013-2017
77072,39103,dollars,36662,41544,2012-2016
77072,37060,dollars,35364,38756,2011-2015
77072,37143,dollars,35573,38713,2010-2014
77072,35462,dollars,33704,37220,2009-2013
77072,35763,dollars,33750,37776,2008-2012
77072,36457,dollars,34977,37937,2007-2011
77073,52095,dollars,48388,55802,2014-2018
77073,54079,dollars,50033,58125,2013-2017
77073,52327,dollars,49083,55571,2012-2016
77073,53450,dollars,50289,56611,2011-2015
77073,52273,dollars,49763,54783,2010-2014
77073,51206,dollars,47772,54640,2009-2013
77073,50745,dollars,48383,53107,2008-2012
77073,50017,dollars,47640,52394,2007-2011
77074,40214,dollars,36792,43636,2014-2018
77074,36593,dollars,34815,38371,2013-2017
77074,34920,dollars,32633,37207,2012-2016
77074,34529,dollars,33050,36008,2011-2015
77074,34421,dollars,32427,36415,2010-2014
77074,36207,dollars,33444,38970,2009-2013
77074,35154,dollars,33355,36953,2008-2012
77074,34512,dollars,33167,35857,2007-2011
77075,53633,dollars,50837,56429,2014-2018
77075,50653,dollars,48239,53067,2013-2017
77075,48612,dollars,44708,52516,2012-2016
77075,46043,dollars,40706,51380,2011-2015
77075,47644,dollars,42251,53037,2010-2014
77075,45581,dollars,41903,49259,2009-2013
77075,47737,dollars,44309,51165,2008-2012
77075,48901,dollars,45197,52605,2007-2011
77076,37072,dollars,35049,39095,2014-2018
77076,34842,dollars,32027,37657,2013-2017
77076,31930,dollars,29350,34510,2012-2016
77076,31093,dollars,28212,33974,2011-2015
77076,30403,dollars,28013,32793,2010-2014
77076,31212,dollars,28389,34035,2009-2013
77076,32764,dollars,29898,35630,2008-2012
77076,32243,dollars,29467,35019,2007-2011
77077,65922,dollars,61511,70333,2014-2018
77077,66587,dollars,63885,69289,2013-2017
77077,63701,dollars,59577,67825,2012-2016
77077,63559,dollars,60290,66828,2011-2015
77077,62784,dollars,59383,66185,2010-2014
77077,59958,dollars,55313,64603,2009-2013
77077,61702,dollars,56391,67013,2008-2012
77077,60398,dollars,55787,65009,2007-2011
77078,37356,dollars,29548,45164,2014-2018
77078,35770,dollars,32891,38649,2013-2017
77078,32040,dollars,26764,37316,2012-2016
77078,31118,dollars,27955,34281,2011-2015
77078,28338,dollars,24589,32087,2010-2014
77078,30368,dollars,23456,37280,2009-2013
77078,32441,dollars,26926,37956,2008-2012
77078,33995,dollars,30395,37595,2007-2011
77079,100107,dollars,89594,110620,2014-2018
77079,98774,dollars,91583,105965,2013-2017
77079,101743,dollars,99259,104227,2012-2016
77079,100367,dollars,97453,103281,2011-2015
77079,99650,dollars,96917,102383,2010-2014
77079,95589,dollars,90002,101176,2009-2013
77079,94924,dollars,90421,99427,2008-2012
77079,92460,dollars,87475,97445,2007-2011
77080,44814,dollars,40865,48763,2014-2018
77080,44386,dollars,41119,47653,2013-2017
77080,41285,dollars,39160,43410,2012-2016
77080,40983,dollars,38770,43196,2011-2015
77080,38407,dollars,36217,40597,2010-2014
77080,38159,dollars,35491,40827,2009-2013
77080,36162,dollars,34406,37918,2008-2012
77080,36453,dollars,34786,38120,2007-2011
77081,31196,dollars,29961,32431,2014-2018
77081,29079,dollars,26707,31451,2013-2017
77081,27691,dollars,25918,29464,2012-2016
77081,27187,dollars,25769,28605,2011-2015
77081,27191,dollars,25686,28696,2010-2014
77081,26741,dollars,25295,28187,2009-2013
77081,27789,dollars,26019,29559,2008-2012
77081,28949,dollars,26949,30949,2007-2011
77082,53313,dollars,49426,57200,2014-2018
77082,53999,dollars,50844,57154,2013-2017
77082,49825,dollars,47012,52638,2012-2016
77082,49813,dollars,46640,52986,2011-2015
77082,50894,dollars,48437,53351,2010-2014
77082,50294,dollars,47465,53123,2009-2013
